CustomerID,CustomerName,Gender,Age,City,JoinDate,PlanType,MonthlyCharges,TotalCharges,TenureMonths,InternetService,ContractType,PaymentMethod,SupportTickets,ChurnStatus,,Blank check
C100045,Ananya Sen,Female,29,Delhi,22-06-2025,Postpaid,741.27,5188.89,7,5G,1 Year,Bank Transfer,1,No,,FALSE
C100046,Ananya Sen,Male,19,Hyderabad,21-01-2025,Prepaid,387.55,27128.5,70,DSL,Monthly,UPI,9,Yes,,FALSE
C100047,Priya Paul,Male,33,Bangalore,25-12-2025,Postpaid,1104.05,18768.85,17,5G,Monthly,UPI,12,Yes,,FALSE
C100048,Rohit Paul,Female,37,Bangalore,12-04-2025,Prepaid,1282.76,17958.64,14,DSL,Monthly,Bank Transfer,10,Yes,,FALSE
C100049,Sourav Ghosh,Male,68,Chennai,28-11-2025,Postpaid,889.25,5335.5,6,Fiber,1 Year,Cash,1,No,,FALSE
C100050,Sourav Roy,Female,41,Chennai,03-10-2025,Postpaid,,88583.78,59,None,1 Year,Bank Transfer,5,Yes,,FALSE
C100051,Riya Sen,Female,71,Chennai,09-11-2025,Postpaid,773.18,9278.16,12,5G,Monthly,Cash,5,Yes,,FALSE
C100052,Rohit Ghosh,Female,49,Chennai,26-12-2025,Postpaid,902.2,25261.6,28,Fiber,2 Year,Card,1,Yes,,FALSE
C100053,Sneha Gupta,Female,64,Bangalore,09-01-2025,Prepaid,1129.58,59867.74,53,5G,Monthly,Cash,11,Yes,,FALSE
C100054,Vikram Ghosh,Female,37,Hyderabad,09-10-2025,Postpaid,1103.54,52969.92,48,5G,2 Year,Cash,,No,,FALSE
C100055,Sneha Ghosh,Male,34,Hyderabad,02-10-2025,Prepaid,504.12,15123.6,30,DSL,Monthly,Cash,4,No,,FALSE
C100056,Ananya Roy,Female,24,Calcutta,29-12-2025,Prepaid,802.62,20065.5,25,5G,Monthly,UPI,8,No,,FALSE
C100057,Riya Das,Male,62,Chennai,26-05-2025,Postpaid,1383.38,23517.46,17,None,1 Year,Bank Transfer,2,Yes,,FALSE
C100058,Priya Kapoor,Female,34,Kolkata,23-10-2025,Prepaid,492.95,30562.9,62,DSL,Monthly,Bank Transfer,1,Yes,,FALSE
C100059,Neha Paul,Male,25,Chennai,14-07-2025,Postpaid,1598.55,115095.6,72,None,1 Year,Cash,4,Yes,,FALSE
C100060,Sneha Sen,Female,57,Hyderabad,11-02-2025,Prepaid,1909.9,24828.7,13,DSL,Monthly,,2,Yes,,FALSE
C100061,Riya Singh,Male,44,Mumbai,28-05-2025,Postpaid,1470.93,85313.94,58,None,Monthly,Card,4,Yes,,FALSE
C100062,Amit Singh,Male,45,Kolkata,31-01-2025,Prepaid,1224.76,18371.4,15,5G,2 Year,Bank Transfer,7,Yes,,FALSE
C100063,Rohit Dey,Female,47,Bangalore,11-02-2025,Prepaid,1488.55,58053.45,39,None,2 Year,Bank Transfer,9,No,,FALSE
C100064,Neha Paul,Male,19,Hyderabad,18-05-2025,Prepaid,688.17,8258.04,12,DSL,1 Year,Cash,4,Yes,,FALSE
C100065,Riya Das,Female,55,Delhi,29-07-2025,Postpaid,1378.13,77175.28,56,5G,2 Year,UPI,2,No,,FALSE
C100066,Sourav Dey,Male,44,,15-02-2025,Postpaid,788.97,50494.08,64,5G,1 Year,UPI,12,No,,FALSE
C100067,Rahul Dey,Female,73,Bangaluru,28-01-2025,Prepaid,1701.38,112291.08,66,5G,2 Year,Cash,10,No,,FALSE
C100068,Vikram Roy,Female,66,Bangalore,24-12-2025,Postpaid,645.05,4515.35,7,Fiber,Monthly,Card,11,Yes,,FALSE
C100069,Sourav das,Male,37,Kolkata,25-08-2025,Prepaid,322.25,22879.75,71,DSL,1 Year,Bank Transfer,8,No,,FALSE
C100070,Sneha Gupta,Male,44,Bangalore,08-04-2025,Prepaid,1965.42,121856.04,62,Fiber,1 Year,Cash,5,No,,FALSE
C100071,Rohit Paul,Female,70,Mumbai,17-08-2025,Postpaid,779.83,779.83,1,5G,1 Year,Cash,7,No,,FALSE
C100072,Sneha Paul,Female,73,Mumbai,30-07-2025,Prepaid,1966.32,49158,25,5G,2 Year,Cash,11,No,,FALSE
C100073,rahul Roy,Female,42,Kolkata,14-08-2025,Prepaid,1141.06,22821.2,20,None,Monthly,Card,6,Yes,,FALSE
C100074,Rohit Ghosh,Female,22,Hyderabad,11-02-2025,Postpaid,1627.59,99282.99,61,None,1 Year,Cash,8,Yes,,FALSE
C100075,Rohit Sen,Male,57,Bangalore,20-02-2025,Prepaid,698.11,6282.99,9,None,Monthly,Bank Transfer,0,Yes,,FALSE
C100076,Ananya Kapoor,Male,38,Mumbai,29-09-2025,Postpaid,797.73,6381.84,8,DSL,Monthly,Card,,No,,FALSE
C100077,Neha Roy,Male,57,Bangalore,23-11-2025,Postpaid,1145.03,35495.93,31,None,1 Year,UPI,12,No,,FALSE
C100078,Amit Das,Female,75,Delhi,28-10-2025,Postpaid,1450.94,53684.78,37,None,2 Year,Bank Transfer,7,No,,FALSE
C100079,Priya Sen,Female,30,Chennai,03-07-2025,Postpaid,1749.67,87483.5,50,5G,Monthly,Cash,4,Yes,,FALSE
C100080,Riya Singh,Male,54,,30-06-2025,Prepaid,1847.05,12929.35,7,DSL,2 Year,Bank Transfer,10,Yes,,FALSE
C100081,Rahul singh,Female,58,Kolkata,24-10-2025,Postpaid,,23852.27,13,DSL,Monthly,Bank Transfer,5,No,,FALSE
C100082,Vikram Ghosh,Female,29,Mumbai,12-05-2025,Postpaid,523.67,13615.42,26,5G,2 Year,Bank Transfer,12,Yes,,FALSE
C100083,Sneha Kapoor,Female,47,Calcutta,22-07-2025,Prepaid,538.29,5382.9,10,5G,2 Year,UPI,7,No,,FALSE
C100084,Ananya Das,Male,61,Bangaluru,13-01-2025,Postpaid,1292.75,43953.5,34,DSL,2 Year,UPI,10,No,,FALSE
C100085,Priya Roy,Male,62,,05-06-2025,Postpaid,1402.71,54705.69,39,Fiber,Monthly,Card,8,Yes,,FALSE
C100086,Vikram Kapoor,Male,42,Bangalore,02-12-2025,Prepaid,929.72,54853.48,59,None,2 Year,Cash,4,Yes,,FALSE
C100087,Riya Sen,Female,62,Kolkata,18-12-2025,Postpaid,668.36,32081.28,48,5G,Monthly,Cash,4,Yes,,FALSE
C100088,Sneha Paul,Male,25,Kolkata,20-06-2025,Prepaid,454.84,26835.56,59,DSL,2 Year,card,1,Yes,,FALSE
C100089,Sneha Ghosh,Male,55,Chennai,02-01-2025,Postpaid,1681.19,47073.32,28,DSL,Monthly,,12,Yes,,FALSE
C100090,Ananya Sen,Female,25,Kolkata,31-03-2025,Postpaid,523.07,2092.28,4,Fiber,Monthly,Cash,8,Yes,,FALSE
C100091,Ananya Dey,Male,65,Bangalore,15-09-2025,Prepaid,1108.62,9977.58,9,Fiber,2 Year,Bank Transfer,7,Yes,,FALSE
C100092,Sourav Das,Female,21,Hyderabad,16-08-2025,Prepaid,1739.41,107843.42,62,Fiber,1 Year,Card,1,Yes,,FALSE
C100093,Sourav Paul,Female,35,Bangalore,16-09-2025,Postpaid,1509.66,107185.86,71,Fiber,2 Year,UPI,10,Yes,,FALSE
C100094,Sourav Ghosh,Female,45,Bangalore,01-08-2025,Prepaid,1808.75,104907.5,58,5G,1 Year,Bank Transfer,,No,,FALSE
C100095,Riya das,Male,41,Kolkata,17-02-2025,Postpaid,1466.6,29332,20,Fiber,2 Year,Bank Transfer,12,Yes,,FALSE
C100096,Vikram Dey,Female,53,Hyderabad,04-03-2025,Postpaid,1295.99,10367.92,8,5G,2 Year,,11,Yes,,FALSE
C100097,Neha Dey,Male,36,Mumbai,03-12-2025,Postpaid,896.8,35872,40,DSL,Monthly,Bank Transfer,8,No,,FALSE
C100098,Sourav Dey,Male,25,Chennai,03-12-2025,Postpaid,1274.97,45898.92,36,Fiber,Monthly,Bank Transfer,11,No,,FALSE
C100099,Amit Paul,Female,39,Kolkata,14-03-2025,Prepaid,309.38,13922.1,45,Fiber,2 Year,Card,6,No,,FALSE
C100100,Rohit Ghosh,Male,47,Kolkata,21-03-2025,Prepaid,566.6,24930.4,44,Fiber,2 Year,,4,No,,FALSE
C100101,Riya Kapoor,Female,60,Mumbai,20-09-2025,Prepaid,1124.62,61854.1,55,5G,1 Year,UPI,4,No,,FALSE
C100102,Sourav Paul,Male,51,Kolkata,15-04-2025,Postpaid,376.21,15048.4,40,DSL,Monthly,Bank Transfer,4,No,,FALSE
C100103,Sourav Roy,Male,25,Bangalore,30-09-2025,Prepaid,1144.56,1144.56,1,5G,Monthly,Cash,11,Yes,,FALSE
C100104,Priya Ghosh,Female,45,Chennai,27-07-2025,Postpaid,1080.58,3241.74,3,5G,Monthly,Cash,0,No,,FALSE
C100105,Ananya Das,Female,28,Kolkata,05-05-2025,Postpaid,1713.44,101092.96,59,None,2 Year,UPI,6,No,,FALSE
C100106,Amit Das,Male,65,Chennai,19-09-2025,Prepaid,675.67,29729.48,44,5G,1 Year,Card,3,Yes,,FALSE
C100107,Neha Roy,Male,27,,18-11-2025,Postpaid,634.36,20933.88,33,None,2 Year,Cash,10,No,,FALSE
C100108,Priya Gupta,Female,73,Hyderabad,05-06-2025,Postpaid,,22780.83,41,Fiber,1 Year,UPI,4,No,,FALSE
C100109,Rohit Das,Male,46,Chennai,01-11-2025,Postpaid,395.71,1978.55,5,None,2 Year,,7,Yes,,FALSE
C100110,Rahul Gupta,Male,38,Delhi,13-02-2025,Prepaid,1151.32,70230.52,61,Fiber,Monthly,Cash,7,Yes,,FALSE
C100111,Sourav Kapoor,Female,41,Hyderabad,03-11-2025,Prepaid,1859.49,89255.52,48,5G,Monthly,Bank Transfer,1,No,,FALSE
C100112,Neha Roy,Female,36,Kolkata,26-10-2025,Prepaid,1529.35,50468.55,33,5G,1 Year,Cash,2,Yes,,FALSE
C100113,Ananya Roy,Male,37,Hyderabad,10-12-2025,Postpaid,939.35,67633.2,72,5G,Monthly,Bank Transfer,4,Yes,,FALSE
C100114,Riya Sen,Male,31,Mumbai,21-03-2025,Prepaid,1910.04,84041.76,44,5G,Monthly,UPI,10,No,,FALSE
C100115,Amit Roy,Male,74,Hyderabad,16-11-2025,Prepaid,1314.32,22343.44,17,None,Monthly,Cash,5,Yes,,FALSE
C100116,Riya Sen,Male,46,Delhi,29-08-2025,Prepaid,1578.06,58388.22,37,5G,2 Year,Cash,7,No,,FALSE
C100117,Sourav Roy,Male,67,Chennai,12-03-2025,Postpaid,1153.94,56543.06,49,Fiber,2 Year,Cash,5,Yes,,FALSE
C100118,Rohit Das,Male,63,Delhi,19-08-2025,Prepaid,1745.98,116980.66,67,None,Monthly,Card,7,No,,FALSE
C100119,Vikram Ghosh,Male,19,Bangalore,11-02-2025,Postpaid,389.54,21035.16,54,DSL,Monthly,Bank Transfer,,No,,FALSE
C100120,Rohit Gupta,Male,68,Hyderabad,29-08-2025,Postpaid,532.92,10125.48,19,Fiber,Monthly,UPI,4,Yes,,FALSE
C100121,Neha Dey,Female,71,Kolkata,28-05-2025,Prepaid,1231.97,24639.4,20,5G,Monthly,UPI,3,No,,FALSE
C100122,Riya Paul,Male,58,Hyderabad,21-09-2025,Prepaid,405.77,23940.43,59,DSL,1 Year,Cash,0,No,,FALSE
C100123,Priya Dey,Female,33,Kolkata,27-09-2025,Prepaid,617.43,33341.22,54,None,1 Year,UPI,10,No,,FALSE
C100124,Ananya Das,Female,41,Mumbai,03-12-2025,Prepaid,,51791.52,33,5G,Monthly,UPI,5,No,,FALSE
C100125,Riya Gupta,Male,70,Mumbai,02-02-2025,Postpaid,1710.65,39344.95,23,Fiber,1 Year,Card,0,Yes,,FALSE
C100126,Rohit Dey,Female,74,Chennai,31-08-2025,Postpaid,835.51,5013.06,6,Fiber,2 Year,Card,4,No,,FALSE
C100127,Ananya Singh,Male,73,Delhi,12-08-2025,Postpaid,1770.86,12396.02,7,None,1 Year,Bank Transfer,2,No,,FALSE
C100128,Vikram Singh,Male,62,Hyderabad,06-08-2025,Prepaid,923.49,59103.36,64,None,2 Year,,8,No,,FALSE
C100129,Rohit Singh,Female,38,Chennai,07-08-2025,Prepaid,435.12,6091.68,14,None,1 Year,Cash,0,No,,FALSE
C100130,Rahul Das,Female,57,Delhi,20-09-2025,Prepaid,765.74,42881.44,56,Fiber,Monthly,Cash,0,Yes,,FALSE
C100131,Ananya Ghosh,Female,22,Chennai,17-01-2025,Prepaid,1622.48,50296.88,31,None,1 Year,Bank Transfer,7,Yes,,FALSE
C100132,Sourav Ghosh,Female,54,Mumbai,28-02-2025,Prepaid,1199.08,21583.44,18,DSL,1 Year,Cash,8,Yes,,FALSE
C100133,Sneha Paul,Female,34,Hyderabad,09-09-2025,Prepaid,1495.86,50859.24,34,Fiber,Monthly,UPI,7,Yes,,FALSE
C100134,Ananya Ghosh,Male,75,Chennai,05-10-2025,Postpaid,1994.35,113677.95,57,5G,Monthly,Card,12,No,,FALSE
C100135,Sneha Roy,Male,50,Bangalore,14-01-2025,Postpaid,505.32,14654.28,29,5G,1 Year,Card,9,Yes,,FALSE
C100136,Riya Dey,Female,22,Bangalore,22-10-2025,Prepaid,975.87,39034.8,40,DSL,1 Year,UPI,7,No,,FALSE
C100137,Vikram Paul,Male,61,Mumbai,10-08-2025,Prepaid,884.68,59273.56,67,Fiber,2 Year,Card,4,Yes,,FALSE
C100138,Sneha Ghosh,Female,28,Kolkata,09-05-2025,Prepaid,1888.05,79298.1,42,5G,Monthly,Bank Transfer,9,Yes,,FALSE
C100139,Neha Roy,Male,50,Hyderabad,16-11-2025,Postpaid,1305.07,28711.54,22,Fiber,Monthly,UPI,0,No,,FALSE
C100140,Sourav Paul,Male,59,Bangalore,18-11-2025,Postpaid,1602.83,43276.41,27,5G,1 Year,,12,No,,FALSE
C100141,Rahul Roy,Female,37,Bangalore,05-09-2025,Postpaid,423.05,24959.95,59,DSL,1 Year,Card,5,No,,FALSE
C100142,Amit Ghosh,Male,64,Delhi,04-05-2025,Postpaid,1957.14,88071.3,45,Fiber,1 Year,Cash,,Yes,,FALSE
C100143,Sourav Paul,Female,24,Mumbai,23-03-2025,Postpaid,792.36,5546.52,7,5G,Monthly,Card,7,No,,FALSE
C100144,Priya Kapoor,Female,49,Mumbai,21-04-2025,Postpaid,1144.53,45781.2,40,Fiber,Monthly,Bank Transfer,7,No,,FALSE
C100145,Priya Kapoor,Male,36,Delhi,07-07-2025,Postpaid,312.9,21590.1,69,5G,Monthly,Cash,0,Yes,,FALSE
C100146,Sourav Dey,Female,41,Chennai,24-05-2025,Prepaid,789.62,56063.02,71,DSL,Monthly,Cash,5,No,,FALSE
C100147,Sneha Paul,Female,53,Chennai,21-01-2025,Prepaid,1582.44,74374.68,47,Fiber,Monthly,Bank Transfer,12,No,,FALSE
C100148,Vikram Roy,Female,51,Chennai,13-06-2025,Prepaid,552.2,32579.8,59,None,2 Year,Bank Transfer,9,No,,FALSE
C100149,Neha Singh,Female,50,Kolkata,08-07-2025,Postpaid,1203.98,79462.68,66,Fiber,1 Year,Bank Transfer,12,Yes,,FALSE
C100150,Neha Paul,Male,56,Hyderabad,27-01-2025,Postpaid,750.4,45774.4,61,DSL,2 Year,Cash,2,Yes,,FALSE
C100151,Riya Ghosh,Female,20,Mumbai,31-07-2025,Prepaid,623.33,9349.95,15,None,2 Year,Cash,11,Yes,,FALSE
C100152,Vikram Ghosh,Female,63,Chennai,12-07-2025,Postpaid,1180.76,21253.68,18,DSL,1 Year,Bank Transfer,8,No,,FALSE
C100153,Sneha Sen,Female,61,Chennai,02-06-2025,Prepaid,1336.13,45428.42,34,5G,1 Year,Card,11,No,,FALSE
C100154,Rohit Singh,Male,38,Chennai,13-12-2025,Postpaid,891.97,55302.14,62,None,1 Year,Card,4,Yes,,FALSE
C100155,Riya Singh,Female,36,Mumbai,14-04-2025,Postpaid,887.82,9766.02,11,5G,Monthly,UPI,9,Yes,,FALSE
C100156,Vikram Sen,Male,33,Kolkata,21-02-2025,Postpaid,1437.72,10064.04,7,5G,2 Year,Cash,1,Yes,,FALSE
C100157,Amit Kapoor,Female,18,Bangalore,30-11-2025,Prepaid,1961.45,139262.95,71,5G,1 Year,Bank Transfer,10,Yes,,FALSE
C100158,Sneha Dey,Male,67,,02-08-2025,Prepaid,1407.91,16894.92,12,Fiber,1 Year,Cash,2,No,,FALSE
C100159,Neha Paul,Male,74,Delhi,26-05-2025,Postpaid,314.75,1573.75,5,None,Monthly,Cash,4,Yes,,FALSE
C100160,Riya Singh,Male,69,Kolkata,22-06-2025,Postpaid,861.16,12917.4,15,DSL,Monthly,Cash,6,No,,FALSE
C100161,Amit Roy,Female,23,Delhi,08-05-2025,Prepaid,1436.73,74709.96,52,5G,1 Year,Card,7,No,,FALSE
C100162,Neha Sharma,Female,39,Hyderabad,04-07-2025,Prepaid,1289.18,50278.02,39,Fiber,2 Year,UPI,7,No,,FALSE
C100163,Rohit Das,Female,28,Delhi,11-11-2025,Prepaid,1465.33,76197.16,52,DSL,Monthly,Cash,2,No,,FALSE
C100164,Vikram Gupta,Male,65,Mumbai,15-12-2025,Prepaid,1005.94,48285.12,48,None,2 Year,Bank Transfer,1,Yes,,FALSE
C100165,Sneha Paul,Male,21,Mumbai,17-06-2025,Postpaid,1833.91,130207.61,71,Fiber,2 Year,Card,11,No,,FALSE
C100166,Rahul Gupta,Male,23,Chennai,01-08-2025,Postpaid,1056.32,69717.12,66,Fiber,2 Year,Cash,10,No,,FALSE
C100167,Rahul Sen,Male,64,Kolkata,05-08-2025,Postpaid,972.11,2916.33,3,Fiber,2 Year,UPI,1,No,,FALSE
C100168,Amit Kapoor,Female,20,Bangalore,18-08-2025,Postpaid,994.07,36780.59,37,None,Monthly,Card,10,No,,FALSE
C100169,Sourav Dey,Male,25,,25-04-2025,Prepaid,1986.84,45697.32,23,Fiber,1 Year,Cash,10,No,,FALSE
C100170,Sneha Gupta,Female,52,Mumbai,22-05-2025,Prepaid,1698.71,83236.79,49,Fiber,Monthly,Cash,9,Yes,,FALSE
C100171,Neha Sharma,Female,33,Chennai,11-12-2025,Prepaid,413.39,11161.53,27,DSL,2 Year,UPI,6,No,,FALSE
C100172,Rahul Roy,Female,32,Mumbai,22-10-2025,Postpaid,668.36,46785.2,70,5G,Monthly,Bank Transfer,2,Yes,,FALSE
C100173,Vikram Paul,Male,44,Hyderabad,14-12-2025,Postpaid,766.76,29903.64,39,None,Monthly,Bank Transfer,10,No,,FALSE
C100174,Sourav Kapoor,Male,68,Delhi,12-07-2025,Prepaid,,57177.8,68,None,Monthly,Card,4,Yes,,FALSE
C100175,Vikram Kapoor,Female,69,Chennai,29-09-2025,Prepaid,1854.06,111243.6,60,None,Monthly,Bank Transfer,3,No,,FALSE
C100176,Ananya Das,Male,59,Kolkata,18-05-2025,Postpaid,1866.78,20534.58,11,Fiber,Monthly,Card,12,Yes,,FALSE
C100177,Ananya Singh,Male,48,Mumbai,08-04-2025,Prepaid,1777.11,47981.97,27,None,Monthly,Card,6,Yes,,FALSE
C100178,Sourav Gupta,Female,53,Delhi,14-05-2025,Postpaid,1617.37,67929.54,42,None,1 Year,UPI,12,No,,FALSE
C100179,Ananya Ghosh,Female,66,Kolkata,16-10-2025,Prepaid,1853.36,75987.76,41,DSL,Monthly,Bank Transfer,8,No,,FALSE
C100180,Sneha Kapoor,Male,36,,09-10-2025,Postpaid,632.53,12650.6,20,5G,1 Year,Cash,7,Yes,,FALSE
C100181,Vikram Gupta,Male,64,Chennai,25-11-2025,Prepaid,586.75,26990.5,46,Fiber,Monthly,UPI,12,Yes,,FALSE
C100182,Sneha Das,Male,44,Kolkata,22-04-2025,Postpaid,1731.33,31163.94,18,5G,Monthly,Cash,10,No,,FALSE
C100183,Sourav Sharma,Male,19,Chennai,21-05-2025,Postpaid,1203.76,1203.76,1,Fiber,2 Year,Cash,12,Yes,,FALSE
C100184,Sneha Sen,Female,24,Delhi,17-05-2025,Postpaid,1190.46,15475.98,13,Fiber,1 Year,Cash,7,Yes,,FALSE
C100185,Priya Sharma,Male,62,Bangalore,14-07-2025,Postpaid,808.96,23459.84,29,None,Monthly,UPI,11,Yes,,FALSE
C100186,Ananya Paul,Male,23,Chennai,22-01-2025,Prepaid,1736.06,111107.84,64,DSL,2 Year,Cash,4,Yes,,FALSE
C100187,Neha Sharma,Male,22,Delhi,09-01-2025,Prepaid,1827.83,65801.88,36,DSL,2 Year,Cash,1,No,,FALSE
C100188,Sourav Dey,Female,28,Bangalore,13-03-2025,Prepaid,1262.38,39133.78,31,5G,Monthly,UPI,6,Yes,,FALSE
C100189,Neha Paul,Female,71,Delhi,16-01-2025,Postpaid,878.01,8780.1,10,None,1 Year,Card,5,No,,FALSE
C100190,Sourav Das,Female,45,Mumbai,07-02-2025,Prepaid,1454.48,34907.52,24,5G,Monthly,Cash,11,Yes,,FALSE
C100191,Priya Das,Male,65,Delhi,16-08-2025,Postpaid,837.35,41867.5,50,5G,Monthly,Card,1,Yes,,FALSE
C100192,Vikram Kapoor,Male,45,Kolkata,15-02-2025,Postpaid,1245.87,72260.46,58,Fiber,2 Year,Bank Transfer,6,Yes,,FALSE
C100193,Priya Dey,Male,36,Chennai,24-09-2025,Prepaid,958.26,50787.78,53,None,Monthly,Card,4,No,,FALSE
C100194,Amit Kapoor,Female,35,Bangalore,03-06-2025,Postpaid,547.09,35013.76,64,Fiber,1 Year,Bank Transfer,3,No,,FALSE
C100195,Amit Singh,Male,56,Bangalore,20-06-2025,Postpaid,1077.36,28011.36,26,5G,1 Year,,6,Yes,,FALSE
C100196,Sneha Gupta,Female,37,Mumbai,23-07-2025,Postpaid,1324.46,55627.32,42,5G,2 Year,Cash,9,Yes,,FALSE
C100197,Sourav Ghosh,Male,38,Chennai,13-04-2025,Prepaid,775.51,37999.99,49,Fiber,2 Year,Cash,11,Yes,,FALSE
